ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_09zomGQuyDgRoRz,female,English,Never,Never,None,Yes,Yes,Maybe,NA,KheuKhya,Female,First,Kheu,rough
R_09zomGQuyDgRoRz,female,English,Never,Never,None,Yes,Yes,Maybe,NA,KhyaKheu,Male,Second,Kheu,rough
R_1DZkh7VXx6g4PAN,male,ENGLISH,Never,Never,None,No,No,Yes,NA,KheuKhya,Male,First,Kheu,rough
R_1DZkh7VXx6g4PAN,male,ENGLISH,Never,Never,None,No,No,Yes,NA,KhyaKheu,Female,First,Khya,rough
R_1FJoQAMh9orhjrG,male,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_1FJoQAMh9orhjrG,male,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Male,First,Khya,rough
R_1GDgl98q5H2dTo7,male,english,Short visit(s),Rarely,None,Yes,Maybe,Yes,NA,KhyaKheu,Male,Second,Kheu,rough
R_1GDgl98q5H2dTo7,male,english,Short visit(s),Rarely,None,Yes,Maybe,Yes,NA,KheuKhya,Female,Second,Khya,rough
R_1hSkCRg0T3oWEuC,female,English,Never,Never,None,No,Yes,No,NA,KheuKhya,Male,Second,Khya,rough
R_1hSkCRg0T3oWEuC,female,English,Never,Never,None,No,Yes,No,NA,KheuKhya,Female,Second,Khya,rough
R_1hyje2hPdBzAMgw,male,English,Never,Rarely,None,No,Yes,No,NA,KheuKhya,Male,First,Kheu,rough
R_1hyje2hPdBzAMgw,male,English,Never,Rarely,None,No,Yes,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_1j8Pn7uHLUNjPPr,male,English,Never,Rarely,None,Yes,Yes,Yes,NA,KhyaKheu,Male,First,Khya,rough
R_1j8Pn7uHLUNjPPr,male,English,Never,Rarely,None,Yes,Yes,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_1jI0tb6P2aX2R9r,male,English,Never,Never,None,No,No,No,NA,KheuKhya,Male,First,Kheu,rough
R_1jI0tb6P2aX2R9r,male,English,Never,Never,None,No,No,No,NA,KheuKhya,Female,First,Kheu,rough
R_1N9X5uSnZLE075C,male,english,Never,Never,None,No,Yes,No,NA,KhyaKheu,Male,First,Khya,rough
R_1N9X5uSnZLE075C,male,english,Never,Never,None,No,Yes,No,NA,KheuKhya,Female,First,Kheu,rough
R_1nQ2QBJsfCqFkkS,female,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_1nQ2QBJsfCqFkkS,female,English,Never,Occasionally,None,No,Yes,Yes,NA,KhyaKheu,Male,Second,Kheu,rough
R_1P6HQ1l7Z9NWnCt,female,English,Never,Never,None,No,Yes,Yes,NA,KheuKhya,Male,First,Kheu,rough
R_1P6HQ1l7Z9NWnCt,female,English,Never,Never,None,No,Yes,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_1P7QjogaG5OuwXm,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_1P7QjogaG5OuwXm,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Male,Second,Khya,rough
R_1pQFupFHLSPpNvt,female,English,Never,Never,None,No,No,No,NA,KhyaKheu,Male,First,Khya,rough
R_1pQFupFHLSPpNvt,female,English,Never,Never,None,No,No,No,NA,KhyaKheu,Female,Second,Kheu,rough
R_22miVPngX2f3W2s,male,english,Never,Rarely,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_22miVPngX2f3W2s,male,english,Never,Rarely,None,No,Maybe,No,NA,KheuKhya,Male,Second,Khya,rough
R_24deMw4MVjmFlXw,female,english,Never,Never,None,No,Yes,No,NA,KheuKhya,Female,Second,Khya,rough
R_24deMw4MVjmFlXw,female,english,Never,Never,None,No,Yes,No,NA,KheuKhya,Male,First,Kheu,rough
R_27jsHX0Aq7tEHCa,female,English,Never,Never,None,No,Maybe,No,NA,KheuKhya,Female,First,Kheu,rough
R_27jsHX0Aq7tEHCa,female,English,Never,Never,None,No,Maybe,No,NA,KhyaKheu,Male,Second,Kheu,rough
R_2AHjBfomW88hRId,male,English,Never,Occasionally,None,No,No,Yes,NA,KheuKhya,Male,First,Kheu,rough
R_2AHjBfomW88hRId,male,English,Never,Occasionally,None,No,No,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_2c2aJfvMqoFCBk7,male,english,Never,Never,None,Yes,Yes,Yes,NA,KhyaKheu,Male,Second,Kheu,rough
R_2c2aJfvMqoFCBk7,male,english,Never,Never,None,Yes,Yes,Yes,NA,KheuKhya,Female,First,Kheu,rough
R_2CBXcpFR7t2KlhC,male,English,Never,Never,None,No,No,Yes,NA,KheuKhya,Male,Second,Khya,rough
R_2CBXcpFR7t2KlhC,male,English,Never,Never,None,No,No,Yes,NA,KhyaKheu,Female,Second,Kheu,rough
R_2CV1wc0U5Vvt7IS,,,,,,,,,NA,NA,NA,NA,NA,rough
