ID,Gender,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_12u3r5KdH5ItjKh,male,English,Never,Never,None,No,No,No,"Was listening for a ""deeper"", more powerful sound.",KhyaKheu,Female,Second,Kheu,male
R_12u3r5KdH5ItjKh,male,English,Never,Never,None,No,No,No,"Was listening for a ""deeper"", more powerful sound.",KheuKhya,Male,First,Kheu,male
R_1CgehfxsGFbq7se,female,English,Never,Regularly,Novice,No,Yes,Yes,I only based it on the second one sounded a little higher than the first one.,KheuKhya,Female,First,Kheu,male
R_1CgehfxsGFbq7se,female,English,Never,Regularly,Novice,No,Yes,Yes,I only based it on the second one sounded a little higher than the first one.,KheuKhya,Male,First,Kheu,male
R_1CIpXweqJ027eEH,female,English,Never,Don't know,None,No,No,No,I thought the ones I chose had a deeper sound.,KheuKhya,Male,Second,Khya,male
R_1CIpXweqJ027eEH,female,English,Never,Don't know,None,No,No,No,I thought the ones I chose had a deeper sound.,KheuKhya,Female,First,Kheu,male
R_1DoHQOnjMqLcPxc,female,English,Never,Rarely,None,No,No,Yes,"The ""male"" sounding tones were lower.",KhyaKheu,Female,Second,Kheu,male
R_1DoHQOnjMqLcPxc,female,English,Never,Rarely,None,No,No,Yes,"The ""male"" sounding tones were lower.",KheuKhya,Male,Second,Khya,male
R_1g6IQBoLoN1NWtH,male,English,Never,Never,None,No,No,No,"I'm not sure, the softness of the sound",KheuKhya,Male,First,Kheu,male
R_1g6IQBoLoN1NWtH,male,English,Never,Never,None,No,No,No,"I'm not sure, the softness of the sound",KhyaKheu,Female,Second,Kheu,male
R_1hTflkceSi5R9fG,male,English,Never,Never,None,No,No,No,i think mostly just based my choice on the pitch i perceived in these sounds being made. also if it seemed a bit softer then that also that made me feel it might be female and i used those two things mainly in deciding.,KheuKhya,Male,Second,Khya,male
R_1hTflkceSi5R9fG,male,English,Never,Never,None,No,No,No,i think mostly just based my choice on the pitch i perceived in these sounds being made. also if it seemed a bit softer then that also that made me feel it might be female and i used those two things mainly in deciding.,KheuKhya,Female,First,Kheu,male
R_1I9sDyoZ47H1x6h,female,English,Never,Regularly,None,Yes,No,No,I just listened to them and went with my intuition,KhyaKheu,Male,Second,Kheu,male
R_1I9sDyoZ47H1x6h,female,English,Never,Regularly,None,Yes,No,No,I just listened to them and went with my intuition,KheuKhya,Female,First,Kheu,male
R_1iamGI3WL9oPTWK,female,Spanish,Never,Occasionally,None,No,No,Yes,Towards the end of the sound it felt like a male inhaling.,KheuKhya,Female,First,Kheu,male
R_1iamGI3WL9oPTWK,female,Spanish,Never,Occasionally,None,No,No,Yes,Towards the end of the sound it felt like a male inhaling.,KheuKhya,Male,First,Kheu,male
R_1jcvHCkC1L7flx4,male,english,Short visit(s),Rarely,None,Yes,Yes,No,no,KheuKhya,Male,First,Kheu,male
R_1jcvHCkC1L7flx4,male,english,Short visit(s),Rarely,None,Yes,Yes,No,no,KheuKhya,Female,First,Kheu,male
R_1jq9nmRcTSB5v9T,female,Arabic and English,Never,Never,None,No,No,No,I felt that I heard male voices :),KheuKhya,Male,First,Kheu,male
R_1jq9nmRcTSB5v9T,female,Arabic and English,Never,Never,None,No,No,No,I felt that I heard male voices :),KhyaKheu,Female,Second,Kheu,male
R_1JRZG4fZEmXIOqD,female,English,Never,Rarely,None,No,Maybe,No,"With the first pair of sounds, the percussive 'strike' at the beginning of the first sample sounded more aggressive to me and thus more 'male.' /  / With the second pair of sounds, the lower vocal tone of the second sound seemed more 'male' to me.  ",KheuKhya,Female,First,Kheu,male
R_1JRZG4fZEmXIOqD,female,English,Never,Rarely,None,No,Maybe,No,"With the first pair of sounds, the percussive 'strike' at the beginning of the first sample sounded more aggressive to me and thus more 'male.' /  / With the second pair of sounds, the lower vocal tone of the second sound seemed more 'male' to me.  ",KheuKhya,Male,Second,Khya,male
R_1mFvUdq8GgGsAlH,male,English,Never,Rarely,None,No,Yes,Yes,I chose the sound that seemed to have a lower pitch. ,KhyaKheu,Male,Second,Kheu,male
R_1mFvUdq8GgGsAlH,male,English,Never,Rarely,None,No,Yes,Yes,I chose the sound that seemed to have a lower pitch. ,KheuKhya,Female,First,Kheu,male
R_1OCDkSAyJu364jh,male,English,Never,Never,None,No,Yes,No,I am really not sure.. I just went with my instinct.,KheuKhya,Male,First,Kheu,male
R_1OCDkSAyJu364jh,male,English,Never,Never,None,No,Yes,No,I am really not sure.. I just went with my instinct.,KhyaKheu,Female,Second,Kheu,male
R_1oHyzTLk8AiPqVu,male,english,Never,Rarely,None,No,Yes,No,I can imagine a female that I know making the other sounds.,KheuKhya,Female,First,Kheu,male
R_1oHyzTLk8AiPqVu,male,english,Never,Rarely,None,No,Yes,No,I can imagine a female that I know making the other sounds.,KhyaKheu,Male,Second,Kheu,male
R_24jDntH8XSKd7YD,male,english,Never,Rarely,None,No,Maybe,Yes,It sounded like it came from a larger pallet ,KhyaKheu,Female,Second,Kheu,male
R_24jDntH8XSKd7YD,male,english,Never,Rarely,None,No,Maybe,Yes,It sounded like it came from a larger pallet ,KheuKhya,Male,Second,Khya,male
R_24tGzQK1hPyh6Vi,female,english,Never,Occasionally,None,Maybe,Yes,Yes,whichever was deeper,KhyaKheu,Male,Second,Kheu,male
R_24tGzQK1hPyh6Vi,female,english,Never,Occasionally,None,Maybe,Yes,Yes,whichever was deeper,KheuKhya,Female,First,Kheu,male
R_262snr3s5aB8oKy,male,English,Never,Rarely,None,No,No,No,If it sounded more masculine I said it sounded more male.,KhyaKheu,Female,First,Khya,male
R_262snr3s5aB8oKy,male,English,Never,Rarely,None,No,No,No,If it sounded more masculine I said it sounded more male.,KhyaKheu,Male,Second,Kheu,male
R_27EBJtrcxwgatP1,female,English,Never,Never,None,No,No,No,They just sounded a bit deeper like a man comparing the two.,KhyaKheu,Male,Second,Kheu,male
R_27EBJtrcxwgatP1,female,English,Never,Never,None,No,No,No,They just sounded a bit deeper like a man comparing the two.,KheuKhya,Female,Second,Khya,male
R_28FzeZFg4M1CL5e,male,English,Never,Rarely,None,No,Maybe,Yes,"The 2 that I picked had a deeper louder sound so that influenced me to say those sounded more ""male"". ",KhyaKheu,Male,Second,Kheu,male
R_28FzeZFg4M1CL5e,male,English,Never,Rarely,None,No,Maybe,Yes,"The 2 that I picked had a deeper louder sound so that influenced me to say those sounded more ""male"". ",KhyaKheu,Female,Second,Kheu,male
R_28HurbwGHHxAIqV,female,english,Never,Occasionally,None,Yes,Yes,Yes,no,KhyaKheu,Female,First,Khya,male
R_28HurbwGHHxAIqV,female,english,Never,Occasionally,None,Yes,Yes,Yes,no,KhyaKheu,Male,Second,Kheu,male
R_2Cge6OUtaLuE3Tt,female,english,Never,Rarely,None,No,No,No,Honestly i just went with my gut. They kinda sounded like the same person anyway.,KhyaKheu,Female,Second,Kheu,male
R_2Cge6OUtaLuE3Tt,female,english,Never,Rarely,None,No,No,No,Honestly i just went with my gut. They kinda sounded like the same person anyway.,KheuKhya,Male,First,Kheu,male
