ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_1CeFyDSzzH1HLiz,male,24,English,Never,Never,None,Yes,Yes,Yes,"I didn't notice too much, but I thought that the one that sounded ""harsher"" was the 30% alcohol one as it may be harsher to drink.",KheuKhya,Female,Second,Khya,15%
R_1CeFyDSzzH1HLiz,male,24,English,Never,Never,None,Yes,Yes,Yes,"I didn't notice too much, but I thought that the one that sounded ""harsher"" was the 30% alcohol one as it may be harsher to drink.",KhyaKheu,Male,First,Khya,15%
R_1DALn0CoHfdzK2w,female,20,English,Never,Occasionally,None,Yes,Yes,Maybe,The carbonation content is different so the lower pitched audio was what I picked for the 15%,KhyaKheu,Female,First,Khya,15%
R_1DALn0CoHfdzK2w,female,20,English,Never,Occasionally,None,Yes,Yes,Maybe,The carbonation content is different so the lower pitched audio was what I picked for the 15%,KheuKhya,Male,Second,Khya,15%
R_1eQwN8qBCXDv5SV,female,37,English,Never,Never,None,No,Yes,No,"The second sounds had more of a ""satisfied"" sound to them, whereas the first sounds had more of an air of surprise but not pleasure. I associate taking pleasure in a beverage with a lower alcohol content. I didn't notice anything else about the sounds, other than that the second set appeared to be a sped up or slightly higher pitched version of the first set.",KheuKhya,Male,Second,Khya,15%
R_1eQwN8qBCXDv5SV,female,37,English,Never,Never,None,No,Yes,No,"The second sounds had more of a ""satisfied"" sound to them, whereas the first sounds had more of an air of surprise but not pleasure. I associate taking pleasure in a beverage with a lower alcohol content. I didn't notice anything else about the sounds, other than that the second set appeared to be a sped up or slightly higher pitched version of the first set.",KheuKhya,Female,Second,Khya,15%
R_1ey0IUcmkFyyj17,male,33,English,Never,Never,None,No,No,No,"On the first set of clips the sound that was ""weaker"" sounding I chose as the 15 percent.  The second clips I just chose the one that sounded like the first clip.",KhyaKheu,Female,First,Khya,15%
R_1ey0IUcmkFyyj17,male,33,English,Never,Never,None,No,No,No,"On the first set of clips the sound that was ""weaker"" sounding I chose as the 15 percent.  The second clips I just chose the one that sounded like the first clip.",KheuKhya,Male,First,Kheu,15%
R_1Fg4XQNmdt4tCdd,female,25,"Chinese, English",Never,Regularly,Novice,Yes,Yes,Yes,One sound was louder than the other while one sound was lower than the either. The audio sounded like when someone drinks soju or sake and it hits them and if it's strong they make the sounds that I heard on the audio clips. I think the sounds with the higher alcohol content (30%) would make a more sharp louder sound because it's stronger so a person's reaction would be higher and louder as opposed to the lower alcohol content (15%). ,KheuKhya,Male,Second,Khya,15%
R_1Fg4XQNmdt4tCdd,female,25,"Chinese, English",Never,Regularly,Novice,Yes,Yes,Yes,One sound was louder than the other while one sound was lower than the either. The audio sounded like when someone drinks soju or sake and it hits them and if it's strong they make the sounds that I heard on the audio clips. I think the sounds with the higher alcohol content (30%) would make a more sharp louder sound because it's stronger so a person's reaction would be higher and louder as opposed to the lower alcohol content (15%). ,KhyaKheu,Female,First,Khya,15%
