ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Qualitative,Condition,StimGender,Resp,RespType,Question
R_10r3CxJkfaNA3AM,male,34,English,Never,Never,None,No,Maybe,Yes,Not really sure,KhyaKheu,Female,First,Khya,pleasant
R_10r3CxJkfaNA3AM,male,34,English,Never,Never,None,No,Maybe,Yes,Not really sure,KhyaKheu,Male,First,Khya,pleasant
R_10UdtqFj8e0fDXt,female,35,english,Lived 0-5 years,Occasionally,Advanced,Maybe,Yes,Maybe,The pleasant of voice.,KheuKhya,Male,First,Kheu,pleasant
R_10UdtqFj8e0fDXt,female,35,english,Lived 0-5 years,Occasionally,Advanced,Maybe,Yes,Maybe,The pleasant of voice.,KheuKhya,Female,First,Kheu,pleasant
R_12SJdP4Ee0uW76r,female,40,English,Never,Never,None,No,Maybe,Yes,It almost seemed like a higher pitch made the sound lighter and less intimidating. ,KhyaKheu,Female,First,Khya,pleasant
R_12SJdP4Ee0uW76r,female,40,English,Never,Never,None,No,Maybe,Yes,It almost seemed like a higher pitch made the sound lighter and less intimidating. ,KheuKhya,Male,First,Kheu,pleasant
R_1dcRVjRH0bCO3bW,male,24,English,Never,Never,None,No,No,No,I thought both sounds weren't very pleasant sounding but i chose the one that was easier on my ears to listen to.,KhyaKheu,Male,First,Khya,pleasant
R_1dcRVjRH0bCO3bW,male,24,English,Never,Never,None,No,No,No,I thought both sounds weren't very pleasant sounding but i chose the one that was easier on my ears to listen to.,KheuKhya,Female,First,Kheu,pleasant
R_1dNspwFvIghtnRL,male,29,english,Never,Rarely,None,No,Maybe,No,while listening i feel and selected the sound which is natural to me.,KhyaKheu,Male,First,Khya,pleasant
R_1dNspwFvIghtnRL,male,29,english,Never,Rarely,None,No,Maybe,No,while listening i feel and selected the sound which is natural to me.,KhyaKheu,Female,Second,Kheu,pleasant
R_1E6FhI2ahV8zxl0,male,24,english,Short visit(s),Occasionally,Native-like,Maybe,Maybe,Yes,no,KheuKhya,Female,Second,Khya,pleasant
R_1E6FhI2ahV8zxl0,male,24,english,Short visit(s),Occasionally,Native-like,Maybe,Maybe,Yes,no,KhyaKheu,Male,First,Khya,pleasant
R_1F5sd7oqhLFYgEX,male,39,English,Never,Never,None,No,No,Yes,None,KhyaKheu,Male,Second,Kheu,pleasant
R_1F5sd7oqhLFYgEX,male,39,English,Never,Never,None,No,No,Yes,None,KheuKhya,Female,Second,Khya,pleasant
R_1GEtKfiu2fRIrg4,female,28,ENGLISH,Never,Never,None,No,No,No,NA,KheuKhya,Female,First,Kheu,pleasant
R_1GEtKfiu2fRIrg4,female,28,ENGLISH,Never,Never,None,No,No,No,NA,KhyaKheu,Male,Second,Kheu,pleasant
R_1gTJto4CiwASBG8,female,44,english,Never,Never,None,No,No,No,I chose the one that sounded less like a cat hiss.,KhyaKheu,Male,First,Khya,pleasant
R_1gTJto4CiwASBG8,female,44,english,Never,Never,None,No,No,No,I chose the one that sounded less like a cat hiss.,KheuKhya,Female,Second,Khya,pleasant
R_1hYek5tlJM9AWSE,male,34,English,Never,Don't know,None,No,No,No,The first one sounded raspy.,KhyaKheu,Male,Second,Kheu,pleasant
R_1hYek5tlJM9AWSE,male,34,English,Never,Don't know,None,No,No,No,The first one sounded raspy.,KhyaKheu,Female,First,Khya,pleasant
