ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Question,Qualitative,Condition,StimGender,RespType
R_1243pVKeSvqz82J,weiblich,56,deutsch,Niemals,Selten,Nein,Nein,Nein,Nein,hart,Die 'härtere' Aufnahme klang kürzer bzw. abgehackter.,KhyaKheu,Male,Khya
R_1243pVKeSvqz82J,weiblich,56,deutsch,Niemals,Selten,Nein,Nein,Nein,Nein,hart,Die 'härtere' Aufnahme klang kürzer bzw. abgehackter.,KheuKhya,Female,Kheu
R_1BWMCiJGYGL7cA1,männlich,32,Deutsch,Niemals,Niemals,Nein,Nein,Nein,Nein,hart,Explosivlaute klingen für mich tendenziell härter.,KhyaKheu,Female,Kheu
R_1BWMCiJGYGL7cA1,männlich,32,Deutsch,Niemals,Niemals,Nein,Nein,Nein,Nein,hart,Explosivlaute klingen für mich tendenziell härter.,KhyaKheu,Male,Khya
R_1CqOaFr08zYhpT8,,NA,,,,,,,,weich,,KheuKhya,Male,Khya
R_1CqOaFr08zYhpT8,,NA,,,,,,,,weich,,KhyaKheu,Female,Kheu
R_1eDkp6yoLmpHaIH,männlich,28,Deutsch,Niemals,Niemals,Nein,Nein,Vielleicht,Nein,hart,Hauptsächlich hat mich die Lautstärke beeinflusst. Beim ersten Vergleich klang die zweite Aufnahme fast schon wie ein flüstern. Außerdem spielte das plötzliche und kurze auftreten des Geräusches eine Rolle.,KheuKhya,Female,Kheu
R_1eDkp6yoLmpHaIH,männlich,28,Deutsch,Niemals,Niemals,Nein,Nein,Vielleicht,Nein,hart,Hauptsächlich hat mich die Lautstärke beeinflusst. Beim ersten Vergleich klang die zweite Aufnahme fast schon wie ein flüstern. Außerdem spielte das plötzliche und kurze auftreten des Geräusches eine Rolle.,KheuKhya,Male,Khya
R_1goQO6tHRc95MZK,männlich,18,Deutsch,Niemals,Niemals,Nein,Nein,Ja,Nein,hart,"Die ""härtere"" Aufnahme war, bei gleichbleibender Lautstärke, lauter.",KheuKhya,Female,Kheu
R_1goQO6tHRc95MZK,männlich,18,Deutsch,Niemals,Niemals,Nein,Nein,Ja,Nein,hart,"Die ""härtere"" Aufnahme war, bei gleichbleibender Lautstärke, lauter.",KheuKhya,Male,Kheu
R_1gqjzgyDp9J3I6q,weiblich,32,Deutsch,Niemals,Selten,Nein,Nein,Vielleicht,Ja,hart,"Beeinflusst haben meine Wahrnehmung wahrscheinlich Intensität und Dauer des Luftstroms (evtl. ""Verschlusszeit"" des Plosivs). Aufgefallen ist mir (ich glaube besonders beim 4. Beispiel) die Aspiration. Ich bin durch mein Linguistik-Studium (Englisch) leicht geprimed, habe mich aber über den normalen Gebrauch hinaus nie näher mit Phonetik befasst.",KheuKhya,Female,Khya
R_1gqjzgyDp9J3I6q,weiblich,32,Deutsch,Niemals,Selten,Nein,Nein,Vielleicht,Ja,hart,"Beeinflusst haben meine Wahrnehmung wahrscheinlich Intensität und Dauer des Luftstroms (evtl. ""Verschlusszeit"" des Plosivs). Aufgefallen ist mir (ich glaube besonders beim 4. Beispiel) die Aspiration. Ich bin durch mein Linguistik-Studium (Englisch) leicht geprimed, habe mich aber über den normalen Gebrauch hinaus nie näher mit Phonetik befasst.",KheuKhya,Male,Kheu
R_1gqlS7Ak2QaJLJn,männlich,63,Österreichisches Deutsch,Niemals,Weiss nicht,Anfänger,Nein,Ja,Ja,hart,Beim 2. Experiment der sirrende Ton beim 2. Jingle machte für mich den Gesamteindruck härter. War bewusste Entscheidung. Unbewusst wäre wohl der erste härter gewesen. ,KheuKhya,Male,Kheu
