ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Question,Qualitative,Condition,StimGender,RespType
R_0cXHxFTsIws99QJ,femenino,45,Castellano,Estancias inferiores a 5 años,Nunca,Ninguno,Sí,Sí,No,weich,La verdad es que la dualidad blando-duro no me ha resultado pertinente. La elección ha sido totalmente irracional y forzada por la necesidad de elegir uno de los dos sonidos. ,KheuKhya,Female,Khya
R_0cXHxFTsIws99QJ,femenino,45,Castellano,Estancias inferiores a 5 años,Nunca,Ninguno,Sí,Sí,No,weich,La verdad es que la dualidad blando-duro no me ha resultado pertinente. La elección ha sido totalmente irracional y forzada por la necesidad de elegir uno de los dos sonidos. ,KheuKhya,Male,Khya
R_0HBH21k14GYmDqF,femenino,65,Español,Nunca,Nunca,Ninguno,Quizás,Sí,No,weich,El duro es porque me resulta más punzante al oído,KhyaKheu,Female,Khya
R_0HBH21k14GYmDqF,femenino,65,Español,Nunca,Nunca,Ninguno,Quizás,Sí,No,weich,El duro es porque me resulta más punzante al oído,KheuKhya,Male,Khya
R_0HdrrfVzZM232PT,femenino,30,Español,Nunca,Ocasionalmente,Ninguno,No,No,No,weich,la intensidad del sonido de los audios.,KheuKhya,Female,Khya
R_0HdrrfVzZM232PT,femenino,30,Español,Nunca,Ocasionalmente,Ninguno,No,No,No,weich,la intensidad del sonido de los audios.,KhyaKheu,Male,Kheu
R_0VP8t6TMrL9oVZ7,femenino,31,Español peninsular y catalán,Nunca,Ocasionalmente,Ninguno,Sí,Sí,No,weich,Blando se refiere a un sonido menos intenso y menos estringente ,KheuKhya,Female,Khya
R_0VP8t6TMrL9oVZ7,femenino,31,Español peninsular y catalán,Nunca,Ocasionalmente,Ninguno,Sí,Sí,No,weich,Blando se refiere a un sonido menos intenso y menos estringente ,KhyaKheu,Male,Khya
R_12fHsIIgBXqQ4ig,masculino,20,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,Sí,weich,"La apertura del sonido (acabado en algo más parecido a una ""a"" o una ""o"") influencia, así como la rasposidad del sonido inicial",KhyaKheu,Female,Kheu
R_12fHsIIgBXqQ4ig,masculino,20,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,Sí,weich,"La apertura del sonido (acabado en algo más parecido a una ""a"" o una ""o"") influencia, así como la rasposidad del sonido inicial",KhyaKheu,Male,Khya
R_12gtXi8vOIC0S3A,masculino,43,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"He relacionado ""duro"" con ""fuerte"" o ""intenso""",KhyaKheu,Female,Khya
R_12gtXi8vOIC0S3A,masculino,43,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"He relacionado ""duro"" con ""fuerte"" o ""intenso""",KheuKhya,Male,Khya
R_12QKbmopkE8QJjO,femenino,49,ruso,Nunca,Nunca,Ninguno,No,No,No,weich,"Creo que ha sonada con menor intensidad y quizás el volumen era algo más bajo. Por lo menos, esta ha sido mi perceción.",KheuKhya,Male,Khya
R_12QKbmopkE8QJjO,femenino,49,ruso,Nunca,Nunca,Ninguno,No,No,No,weich,"Creo que ha sonada con menor intensidad y quizás el volumen era algo más bajo. Por lo menos, esta ha sido mi perceción.",KheuKhya,Female,Khya
R_12rI5O8l3A9ZtQO,masculino,23,Español,Nunca,Nunca,Ninguno,No,Sí,No,hart,"La gravedad de la voz hace que suene mas profundo, y a mi parecer eso me indicaba cual era más 'duro'",KheuKhya,Female,Kheu
R_12rI5O8l3A9ZtQO,masculino,23,Español,Nunca,Nunca,Ninguno,No,Sí,No,hart,"La gravedad de la voz hace que suene mas profundo, y a mi parecer eso me indicaba cual era más 'duro'",KheuKhya,Male,Khya
R_1BUHaseczAAsXIJ,femenino,20,Español y árabe,Nunca,Nunca,Ninguno,No,No,No,hart,"He seleccionado uno en concreto porque realmente lo escuchaba más fuerte y creo que también porque he detectado como si el sonido se hubiera hecho con más furia o rabia, me ha sonado como un animal rugiendo.",KhyaKheu,Female,Kheu
R_1BUHaseczAAsXIJ,femenino,20,Español y árabe,Nunca,Nunca,Ninguno,No,No,No,hart,"He seleccionado uno en concreto porque realmente lo escuchaba más fuerte y creo que también porque he detectado como si el sonido se hubiera hecho con más furia o rabia, me ha sonado como un animal rugiendo.",KhyaKheu,Male,Kheu
R_1BWoHWrmDnDQm1T,masculino,47,Español,Nunca,Muy pocas veces,Ninguno,No,Sí,No,hart,No lo sé.,KhyaKheu,Female,Kheu
R_1BWoHWrmDnDQm1T,masculino,47,Español,Nunca,Muy pocas veces,Ninguno,No,Sí,No,hart,No lo sé.,KhyaKheu,Male,Kheu
R_1DNDDxL8QDI1jeu,masculino,33,Español,Nunca,Nunca,Ninguno,No,No,Sí,weich,He seleccionado en ambos casos los sonidos que me han parecido mas suaves o menos agudos.,KheuKhya,Male,Kheu
R_1DNDDxL8QDI1jeu,masculino,33,Español,Nunca,Nunca,Ninguno,No,No,Sí,weich,He seleccionado en ambos casos los sonidos que me han parecido mas suaves o menos agudos.,KheuKhya,Female,Khya
R_1erdLwwv71quxBa,masculino,24,Español,Nunca,Muy pocas veces,Ninguno,Sí,No,No,weich,el sonido que sigue después del primer impacto sonoro fue lo que me hizo tomar esas elecciones ,KhyaKheu,Male,Kheu
R_1erdLwwv71quxBa,masculino,24,Español,Nunca,Muy pocas veces,Ninguno,Sí,No,No,weich,el sonido que sigue después del primer impacto sonoro fue lo que me hizo tomar esas elecciones ,KhyaKheu,Female,Khya
R_1g0GXsaWxG8HwE4,femenino,33,español,Nunca,Nunca,Ninguno,No,No,Sí,weich,"El sonido ""k"" que parece que choca.",KheuKhya,Male,Khya
R_1g0GXsaWxG8HwE4,femenino,33,español,Nunca,Nunca,Ninguno,No,No,Sí,weich,"El sonido ""k"" que parece que choca.",KheuKhya,Female,Khya
R_1gItbNbf1Hc14iG,femenino,55,castellano,Nunca,Nunca,Ninguno,No,Sí,No,weich,intuición auditiva básicamente ,KhyaKheu,Male,Kheu
R_1gItbNbf1Hc14iG,femenino,55,castellano,Nunca,Nunca,Ninguno,No,Sí,No,weich,intuición auditiva básicamente ,KhyaKheu,Female,Khya
R_1gNhuBXUUso1m4s,masculino,38,castellano,Nunca,Nunca,Ninguno,No,No,No,weich,Menor oclusión y mayor exhalación hace que los sonidos se perciban más blandos.,KheuKhya,Female,Khya
R_1gNhuBXUUso1m4s,masculino,38,castellano,Nunca,Nunca,Ninguno,No,No,No,weich,Menor oclusión y mayor exhalación hace que los sonidos se perciban más blandos.,KheuKhya,Male,Kheu
R_1GOGh3qo3IYXjbt,femenino,23,Español,Nunca,Nunca,Ninguno,No,Quizás,No,hart,"Me he imaginado a una persona haciendo esos sonidos con la boca. Las opciones que he marcado como más ""blandas"" me sobresaltaban menos.",KheuKhya,Male,Kheu
R_1GOGh3qo3IYXjbt,femenino,23,Español,Nunca,Nunca,Ninguno,No,Quizás,No,hart,"Me he imaginado a una persona haciendo esos sonidos con la boca. Las opciones que he marcado como más ""blandas"" me sobresaltaban menos.",KhyaKheu,Female,Khya
R_1I5BV2lLDtrRWWH,masculino,19,Español (Argentina),Nunca,Nunca,Ninguno,No,No,No,hart,"Detecte como un respiro rasposo en los que eran ""duros""",KheuKhya,Male,Kheu
R_1I5BV2lLDtrRWWH,masculino,19,Español (Argentina),Nunca,Nunca,Ninguno,No,No,No,hart,"Detecte como un respiro rasposo en los que eran ""duros""",KheuKhya,Male,Khya
R_1jd0qBn8zdVrdmc,femenino,39,Español y gallego,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,weich,"Los sonidos en que se prolongaba más el sonido (el sonido fuerte era al principio del audio pero después se prolongaba en bajo, como una continuación en bajo del sonido) me resultaban más inquietantes, por lo que los seleccioné como más duros. / Realmente no sé el propósito del experimento, aunque imagino que saber que tipo de sonidos son más agradables o nos resultan más inquietantes puede ser interesante para muchas aplicaciones.",KhyaKheu,Female,Khya
R_1jd0qBn8zdVrdmc,femenino,39,Español y gallego,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,weich,"Los sonidos en que se prolongaba más el sonido (el sonido fuerte era al principio del audio pero después se prolongaba en bajo, como una continuación en bajo del sonido) me resultaban más inquietantes, por lo que los seleccioné como más duros. / Realmente no sé el propósito del experimento, aunque imagino que saber que tipo de sonidos son más agradables o nos resultan más inquietantes puede ser interesante para muchas aplicaciones.",KhyaKheu,Male,Kheu
R_1JIUZT9TOyWue8U,masculino,57,español,Nunca,Nunca,Ninguno,No,No,No,weich,El blando era más apagado,KhyaKheu,Female,Khya
R_1JIUZT9TOyWue8U,masculino,57,español,Nunca,Nunca,Ninguno,No,No,No,weich,El blando era más apagado,KheuKhya,Male,Kheu
R_1kOGEo0MjEs1ueF,masculino,19,Castellano,Nunca,Nunca,Ninguno,No,No,No,weich,La terminacion,KheuKhya,Female,Khya
R_1kOGEo0MjEs1ueF,masculino,19,Castellano,Nunca,Nunca,Ninguno,No,No,No,weich,La terminacion,KheuKhya,Male,Kheu
R_1l3M2vHerG0cIs6,masculino,31,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,hart,"Pues no tengo ni idea, la verdad. ",KhyaKheu,Male,Khya
R_1l3M2vHerG0cIs6,masculino,31,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,hart,"Pues no tengo ni idea, la verdad. ",KhyaKheu,Female,Kheu
R_1lAxwm7248wWW4q,,,,,,,,,,hart,,KheuKhya,Female,Kheu
R_1lAxwm7248wWW4q,,,,,,,,,,hart,,KhyaKheu,Male,Kheu
R_1LUOa4zo0qI45lR,femenino,51,Español,Nunca,Nunca,Ninguno,No,No,No,weich,Just my first impression when listening to it.,KhyaKheu,Female,Khya
R_1LUOa4zo0qI45lR,femenino,51,Español,Nunca,Nunca,Ninguno,No,No,No,weich,Just my first impression when listening to it.,KheuKhya,Male,Khya
R_1LvbdGos5KbQK4b,femenino,21,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"Admito que escuche varias veces los audios. Al principio me costo identificar cuál me parecía más duro o blando. Sinceramente no conozco sus significados, pero tomé al 'sonido duro' el que sentí más fuerte y al 'blando' como el más débil.",KheuKhya,Female,Kheu
R_1LvbdGos5KbQK4b,femenino,21,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"Admito que escuche varias veces los audios. Al principio me costo identificar cuál me parecía más duro o blando. Sinceramente no conozco sus significados, pero tomé al 'sonido duro' el que sentí más fuerte y al 'blando' como el más débil.",KhyaKheu,Male,Kheu
R_1N2evzLenD1rvvR,,,,,,,,,,hart,Manera inicia sonido,KhyaKheu,Female,Kheu
R_1N2evzLenD1rvvR,,,,,,,,,,hart,Manera inicia sonido,KheuKhya,Male,Kheu
R_1o0kLWRoRHsZ9wz,masculino,23,Español,Nunca,Nunca,Ninguno,No,No,No,weich,"Uno de esos sonidos tenía una característica más explosiva, por lo que pude percibir que el gran escape de aire que producía lo hacía el más fuerte. ",KheuKhya,Male,Kheu
R_1o0kLWRoRHsZ9wz,masculino,23,Español,Nunca,Nunca,Ninguno,No,No,No,weich,"Uno de esos sonidos tenía una característica más explosiva, por lo que pude percibir que el gran escape de aire que producía lo hacía el más fuerte. ",KhyaKheu,Female,Kheu
R_1onJ7OqHTDUZF2z,masculino,63,"Español, sí y no",Nunca,Nunca,Ninguno,No,No,No,weich,En el primer par de sonidos el segundo es más prolongado. / En el segundo par de sonidos el primero es claramente más suave,KheuKhya,Male,Khya
R_1onJ7OqHTDUZF2z,masculino,63,"Español, sí y no",Nunca,Nunca,Ninguno,No,No,No,weich,En el primer par de sonidos el segundo es más prolongado. / En el segundo par de sonidos el primero es claramente más suave,KhyaKheu,Female,Khya
R_1OQ4lVT6ZdLwVBj,femenino,25,Español,Nunca,Regularmente,Ninguno,No,No,No,weich,"En uno de los sonidos parecía haber una especie de fuerza al pronunciar que, a comparación del otro, le daba un aspecto más duro.",KhyaKheu,Male,Khya
R_1OQ4lVT6ZdLwVBj,femenino,25,Español,Nunca,Regularmente,Ninguno,No,No,No,weich,"En uno de los sonidos parecía haber una especie de fuerza al pronunciar que, a comparación del otro, le daba un aspecto más duro.",KhyaKheu,Female,Khya
R_1qdLmPNIs9yvW6O,masculino,23,Español,Visitas cortas,Ocasionalmente,Intermedio,Sí,Sí,Quizás,hart,Quizás mi decisión se haya basado en cual de los dos audios era de sonido más grave,KhyaKheu,Male,Kheu
R_1qdLmPNIs9yvW6O,masculino,23,Español,Visitas cortas,Ocasionalmente,Intermedio,Sí,Sí,Quizás,hart,Quizás mi decisión se haya basado en cual de los dos audios era de sonido más grave,KhyaKheu,Female,Kheu
R_1QDzfYFGTH7kI40,masculino,36,Español,Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Me parecían más graves, más sonoros",KheuKhya,Male,Khya
R_1QDzfYFGTH7kI40,masculino,36,Español,Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Me parecían más graves, más sonoros",KhyaKheu,Female,Kheu
R_1rMp7Nh6NXJKWb6,,,,,,,,,,weich,,KheuKhya,Female,Kheu
R_1rMp7Nh6NXJKWb6,,,,,,,,,,weich,,KheuKhya,Male,Khya
R_1rw47ECeSRjjyJb,masculino,40,Español,Nunca,Ocasionalmente,Ninguno,No,Quizás,No,hart,Ni idea,KheuKhya,Male,Khya
R_1rw47ECeSRjjyJb,masculino,40,Español,Nunca,Ocasionalmente,Ninguno,No,Quizás,No,hart,Ni idea,KheuKhya,Male,Khya
R_1rxcGyF55xesowE,femenino,63,"español, inglés",Nunca,Nunca,Ninguno,No,No,No,weich,"La intensidad de la ""expiración"" fue lo que me hizo decidir.",KheuKhya,Female,Khya
R_1rxcGyF55xesowE,femenino,63,"español, inglés",Nunca,Nunca,Ninguno,No,No,No,weich,"La intensidad de la ""expiración"" fue lo que me hizo decidir.",KhyaKheu,Male,Kheu
R_1UsbsZtcdbysigp,masculino,25,Español,Nunca,Nunca,Ninguno,No,No,Sí,hart,Gravedad del sonido,KhyaKheu,Male,Kheu
R_1UsbsZtcdbysigp,masculino,25,Español,Nunca,Nunca,Ninguno,No,No,Sí,hart,Gravedad del sonido,KhyaKheu,Female,Kheu
R_20MqRXwF6GOTwLw,masculino,28,Español,Nunca,Nunca,Ninguno,Sí,Sí,No,hart,En el primero la intensidad del sonido /  / En el segundo la duración junto a la prolongación de la 'u',KheuKhya,Female,Kheu
R_20MqRXwF6GOTwLw,masculino,28,Español,Nunca,Nunca,Ninguno,Sí,Sí,No,hart,En el primero la intensidad del sonido /  / En el segundo la duración junto a la prolongación de la 'u',KheuKhya,Male,Khya
R_20Zseiqw2c6u2s3,femenino,24,castellano,Nunca,Nunca,Ninguno,No,No,No,hart,mas duro lo interpreto como más fuerte,KheuKhya,Female,Kheu
R_20Zseiqw2c6u2s3,femenino,24,castellano,Nunca,Nunca,Ninguno,No,No,No,hart,mas duro lo interpreto como más fuerte,KhyaKheu,Male,Kheu
R_214es42wdnlJ5u6,,,,,,,,,,weich,,KhyaKheu,Female,Khya
R_214es42wdnlJ5u6,,,,,,,,,,weich,,KhyaKheu,Male,Khya
R_21EQ6dWv17F42nM,,,,,,,,,,hart,,KhyaKheu,Female,Khya
R_21EQ6dWv17F42nM,,,,,,,,,,hart,,KhyaKheu,Male,Kheu
R_21iWaud9OLgMtU2,masculino,42,Español,Nunca,Nunca,Ninguno,No,No,No,weich,"El primer sonido me recordaba más a una especie de estallido, el segundo me parecía sentirlo más ""amortiguado"", menos ""punzante"" al oído que el primero. Encuentro bastante difícil encontrar adjetivos precisos para describir la sensación subjetiva.",KheuKhya,Male,Khya
R_21iWaud9OLgMtU2,masculino,42,Español,Nunca,Nunca,Ninguno,No,No,No,weich,"El primer sonido me recordaba más a una especie de estallido, el segundo me parecía sentirlo más ""amortiguado"", menos ""punzante"" al oído que el primero. Encuentro bastante difícil encontrar adjetivos precisos para describir la sensación subjetiva.",KheuKhya,Female,Khya
R_238mXglhxWUKbCp,masculino,46,Español ,Nunca,Nunca,Ninguno,No,No,No,hart,La respuesta tienen que ver con el volumen y la explosividad que he percibido al escuchar los sonidos. ,KhyaKheu,Female,Khya
R_238mXglhxWUKbCp,masculino,46,Español ,Nunca,Nunca,Ninguno,No,No,No,hart,La respuesta tienen que ver con el volumen y la explosividad que he percibido al escuchar los sonidos. ,KhyaKheu,Male,Kheu
R_23TB9KGEHyM4a2T,masculino,19,Castellano,Nunca,Muy pocas veces,Ninguno,No,Sí,No,weich,"Ha influido en mis respuestas el volumen de los audios, un audio con un volumen más bajo sería un sonido ""blando"".",KheuKhya,Male,Kheu
R_23TB9KGEHyM4a2T,masculino,19,Castellano,Nunca,Muy pocas veces,Ninguno,No,Sí,No,weich,"Ha influido en mis respuestas el volumen de los audios, un audio con un volumen más bajo sería un sonido ""blando"".",KheuKhya,Female,Khya
R_241LeZSW96DSF90,femenino,21,Español,Nunca,Nunca,Ninguno,No,Sí,No,weich,Blando lo identificó como que no es un sonido fuerte,KheuKhya,Female,Khya
R_241LeZSW96DSF90,femenino,21,Español,Nunca,Nunca,Ninguno,No,Sí,No,weich,Blando lo identificó como que no es un sonido fuerte,KhyaKheu,Male,Kheu
R_25BCPUOTzw3OnBG,masculino,36,Castellano,Nunca,Nunca,Ninguno,No,Quizás,No,hart,El alargamiento de la detonación final hace que parezcan más duro el primero ,KheuKhya,Female,Kheu
R_25BCPUOTzw3OnBG,masculino,36,Castellano,Nunca,Nunca,Ninguno,No,Quizás,No,hart,El alargamiento de la detonación final hace que parezcan más duro el primero ,KhyaKheu,Male,Khya
R_25MUcrSBwCMs9Pv,masculino,39,Español- sí ,Nunca,Nunca,Ninguno,No,Quizás,No,weich,Dentalización en el primer caso y fricatización en el segundo. Esos aspectos han influido en considerarlos más “blandos”. Al escucharlo una sola vez esta respuesta es pura intuición ,KhyaKheu,Female,Khya
R_25MUcrSBwCMs9Pv,masculino,39,Español- sí ,Nunca,Nunca,Ninguno,No,Quizás,No,weich,Dentalización en el primer caso y fricatización en el segundo. Esos aspectos han influido en considerarlos más “blandos”. Al escucharlo una sola vez esta respuesta es pura intuición ,KheuKhya,Male,Khya
R_25yojIV3auYnNst,femenino,44,Español ,Nunca,Nunca,Ninguno,No,Sí,No,weich,"El volumen (menos volumen más blando) y la duración (más largo, más blando) ",KhyaKheu,Male,Kheu
