V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Einverständniserklärung   Diese Studie untersucht Sprache und Wahrnehmung. Sie werden gebeten ein...,Im Folgenden werden Ihnen zwei Hörbeispiele präsentiert.   Hören Sie bitte beide Aufnahmen und be...,"Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:    Welche Aufnahme klingt 'weicher', die Erste oder die Zweite...","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:    Welche Aufnahme klingt 'härter', die Erste oder die Zweite?...",Was denken Sie hat Ihre Auswahl beeinflusst? Warum klang eine der Aufnahmen 'weicher' oder 'härte...,Konnten Sie beide Aufnahmen hören?,Haben Sie sich die Aufnahmen mehrmals angehört?,Was ist Ihr Alter?,Was ist Ihr Geschlecht?,Sind Sie links- oder rechts-händig?,Was ist Ihre Muttersprache / Ihre Muttersprachen? Ihre Muttersprache ist was Sie zu Hause gelernt...,"Sprechen Sie Koreanisch? Falls Sie Koreanisch sprechen, wie würden Sie Ihre Kenntnisse einschätze...",Haben Sie jemals in einem koreanischen Restaurant gegegessen?,"Haben Sie jemals Soju, den koreanischen Schnaps, probiert oder getrunken?",Kennen Sie Jemanden in Ihrem Freundeskreis der koreanischer Abstammung ist?,"Wie oft schauen oder hören Sie koreanische Pop-Musik, koreanische Seifenopern, Filme oder Fernseh...","Waren Sie schon einmal in Korea, oder haben dort vielleicht gelebt?","Wir danken Ihnen sehr für Ihre Teilnahme an diesem Experiment! Falls Sie Fragen haben, können Sie...",LocationLatitude,LocationLongitude,LocationAccuracy,
R_1is1fvdGcK5rpMA,Default Response Set,Anonymous,,,141.163.106.145,0,2019-04-26 07:25:15,2019-04-26 07:27:45,1,1,1,,,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,"Das ""kch"" Geraeusch klingt fuer meine Ohren haerter als das ""tsch"" Geraeusch.",Ja,Nein,47,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,1,50.388107299805,-4.1324005126953,-1,
R_3kFxQVmNjPIQHki,Default Response Set,Anonymous,,,87.178.146.206,0,2019-04-26 08:49:51,2019-04-26 08:55:11,1,1,1,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,Die Tonhöhe war für mich ausschlaggebend,Ja,Ja,43,männlich,rechtshändig,Deutsch ,Nein,Ja,Ja,Ja,Niemals,Kurzbesuch(e),1,50.120895385742,8.6965942382812,-1,
R_2e3D2ft4zq1J79j,Default Response Set,Anonymous,,,96.84.79.153,0,2019-04-26 09:10:46,2019-04-26 09:13:04,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,Burst frequency,Nein,Nein,33,männlich,rechtshändig,Deutsch,Nein,Ja,Ja,Ja,Niemals,Niemals,1,41.970306396484,-87.664001464844,-1,
R_1pKycqpjGUOQf6Q,Default Response Set,Anonymous,,,77.182.130.91,0,2019-04-26 09:51:08,2019-04-26 09:54:36,1,1,1,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Je mehr das Geräusch geeignet war, mich zu erschrecken, desto härter habe ich es empfunden.",Ja,Nein,48,männlich,rechtshändig,deutsch,Nein,Ja,Ja,Ja,Niemals,Kurzbesuch(e),1,49.45719909668,8.6063995361328,-1,
R_2QocEkSB2YA1e7S,Default Response Set,Anonymous,,,37.201.214.226,0,2019-04-26 11:53:59,2019-04-26 11:58:45,1,1,1,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,"Weil nach härter oder Wucher gefragt wurde, wäre es laut oder leise gewesen hätte ich danach entschieden",Ja,Nein,62,weiblich,rechtshändig,Deutsch,Nein,Ja,Ja,Ja,Niemals,Niemals,1,51.468002319336,6.7714996337891,-1,
R_2z8TYBu8ebJiPce,Default Response Set,Anonymous,,,84.132.52.50,0,2019-04-26 13:32:56,2019-04-26 13:35:56,1,1,1,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,"die ""nicht weiche"" Aufnahme klingt eher scharf, durch eine höhere Tonhöhe und/oder ein stärkeres Rauschen",Ja,Nein,29,weiblich,rechtshändig,"Deutsch, Hebräisch",Nein,Ja,Vielleicht,Ja,Niemals,Niemals,1,51.126403808594,7.9033050537109,-1,
R_2zSzZUWeq6i1wb7,Default Response Set,Anonymous,,,83.150.43.199,0,2019-04-26 15:37:21,2019-04-26 15:46:43,1,1,1,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,Mehr Sonoranz,Ja,Nein,32,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,1,47.366394042969,8.5545959472656,-1,
R_3h60HKrmoCStghc,Default Response Set,Anonymous,,,176.199.209.50,0,2019-04-26 19:43:08,2019-04-26 19:47:09,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,Priming des jeweils ersten Geräuschs. Die erste Frage war eher wie ein Peitschenschlag. Insofern beurteile ich die 'Härte' des Aufprall.,Ja,Ja,33,männlich,rechtshändig,Deutsch / Bairisch,Nein,Ja,Vielleicht,Nein,Niemals,Niemals,1,50.116195678711,8.6365051269531,-1,
R_3r04ZYjoll9ZvwG,Default Response Set,Anonymous,,,134.95.147.33,0,2019-04-29 03:13:08,2019-04-29 03:14:42,1,1,1,,,,,,,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,X,Ja,Nein,36,weiblich,rechtshändig,deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,1,50.720703125,7.1069946289062,-1,
