V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Einverständniserklärung   Diese Studie untersucht Sprache und Wahrnehmung. Sie werden gebeten ein...,Im Folgenden werden Ihnen zwei Hörbeispiele präsentiert.   Hören Sie bitte beide Aufnahmen und be...,"Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:    Welche Aufnahme klingt 'weicher', die Erste oder die Zweite...","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'weicher', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:   Welche Aufnahme klingt 'härter', die Erste oder die Zweite?","Erste Aufnahme:   Zweite Aufnahme:    Welche Aufnahme klingt 'härter', die Erste oder die Zweite?...",Was denken Sie hat Ihre Auswahl beeinflusst? Warum klang eine der Aufnahmen 'weicher' oder 'härte...,Konnten Sie beide Aufnahmen hören?,Haben Sie sich die Aufnahmen mehrmals angehört?,Was ist Ihr Alter?,Was ist Ihr Geschlecht?,Sind Sie links- oder rechts-händig?,Was ist Ihre Muttersprache / Ihre Muttersprachen? Ihre Muttersprache ist was Sie zu Hause gelernt...,"Sprechen Sie Koreanisch? Falls Sie Koreanisch sprechen, wie würden Sie Ihre Kenntnisse einschätze...",Haben Sie jemals in einem koreanischen Restaurant gegegessen?,"Haben Sie jemals Soju, den koreanischen Schnaps, probiert oder getrunken?",Kennen Sie Jemanden in Ihrem Freundeskreis der koreanischer Abstammung ist?,"Wie oft schauen oder hören Sie koreanische Pop-Musik, koreanische Seifenopern, Filme oder Fernseh...","Waren Sie schon einmal in Korea, oder haben dort vielleicht gelebt?",Wir danken Ihnen sehr für Ihre Teilnahme an diesem Experiment!   Clicken sie auf diesen Link um e...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2f2PEbfVGX3dXef,Default Response Set,Anonymous,,,95.90.192.213,0,2019-05-01 02:49:14,2019-05-01 02:51:53,1,1,1,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,"Schwer zu sagen, um ehrlich zu sein. Vielleicht hat sich eins mehr angehört wie ein Tier, dass mich angreifen will.",Ja,Nein,31,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Selten,Niemals,1,48.149703979492,11.585006713867,-1,
R_1jezpDtFMDkNPjy,Default Response Set,Anonymous,,,95.90.195.50,0,2019-05-01 05:46:47,2019-05-01 05:48:53,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,Ein Klickton am Anfang klingt härter.,Ja,Nein,44,weiblich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,1,48.149703979492,11.585006713867,-1,
R_uf4VqvfGKHIsflf,Default Response Set,Anonymous,,,212.201.74.232,0,2019-05-01 05:54:59,2019-05-01 06:00:01,1,1,1,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ich bin mir nicht sicher. Es klang für meine Ohren relativ weicher.,Ja,Ja,31,männlich,rechtshändig,deutsch,Nein,Ja,Nein,Ja,Selten,Niemals,1,50.697494506836,7.1416931152344,-1,
R_2DOenY4br0aBnDV,Default Response Set,Anonymous,,,77.20.254.29,0,2019-05-01 05:57:45,2019-05-01 06:00:33,1,1,1,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,"Ich denke, dass die Höhe des Tons auch entscheidend war.",Ja,Nein,24,männlich,rechtshändig,"Deutsch, Ungarisch",Nein,Ja,Nein,Nein,Selten,Niemals,1,53.569107055664,10.120895385742,-1,
R_1eDkp6yoLmpHaIH,Default Response Set,Anonymous,,,31.17.253.126,0,2019-05-01 06:14:52,2019-05-01 06:19:10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,Hauptsächlich hat mich die Lautstärke beeinflusst. Beim ersten Vergleich klang die zweite Aufnahme fast schon wie ein flüstern. Außerdem spielte das plötzliche und kurze auftreten des Geräusches eine Rolle.,Ja,Nein,28,männlich,rechtshändig,Deutsch,Nein,Vielleicht,Nein,Nein,Niemals,Niemals,1,53.116500854492,8.7595062255859,-1,
R_UxyuroDq5TTDtKN,Default Response Set,Anonymous,,,82.82.76.191,0,2019-05-01 09:27:18,2019-05-01 09:29:26,1,1,1,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geld verdenen ,Nein,Ja,22,männlich,rechtshändig,arabisch,Nein,Vielleicht,Ja,Ja,Manchmal,Niemals,1,51.501007080078,7.3370971679688,-1,
R_3sgZuPh2bsNNLNz,Default Response Set,Anonymous,,,185.216.33.115,0,2019-05-02 06:46:40,2019-05-02 06:49:21,0,1,1,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,Die Lautstärkeänderung und die Intensität waren ausschlaggebend.,Ja,Nein,28,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,,,,-1,
R_2SDmYN2N0m1qOwC,Default Response Set,Anonymous,,,178.1.56.66,0,2019-05-01 16:48:47,2019-05-01 16:49:22,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_22rdswIyrbZzbTF,Default Response Set,Anonymous,,,134.19.115.84,0,2019-05-02 06:01:23,2019-05-02 06:04:20,0,1,1,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,Höheres Zischen wirkt auf mich härter als volleres.,Ja,Nein,55,weiblich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_2tEWaaNvUT2xt9i,Default Response Set,Anonymous,,,188.96.251.91,0,2019-05-02 01:52:23,2019-05-02 01:54:34,0,1,1,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,"Die erste Aufnahme klang weicher, weil sie etwas leiser war. In der zweiten Aufnahme war der Konsonant nicht so hart ausgesprochen und deshalb klang sie für mich weicher.",Ja,Nein,25,weiblich,rechtshändig,Deutsch,Nein,Vielleicht,Nein,Nein,Niemals,Niemals,,,,-1,
R_1BWMCiJGYGL7cA1,Default Response Set,Anonymous,,,188.101.15.28,0,2019-05-02 01:01:41,2019-05-02 01:03:53,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,Explosivlaute klingen für mich tendenziell härter.,Ja,Nein,32,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_1JPgfgQmDHGvP6Z,Default Response Set,Anonymous,,,178.19.236.47,0,2019-05-01 15:01:32,2019-05-01 15:05:27,0,1,1,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,"Manche Geräusche hatten einen gepressten Unterton, eine Art Zischen. Aufgrund dieses Geräuschs habe ich dann die jeweilige Alternative als ""weicher"" ausgewählt.",Ja,Nein,27,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_AuQVmHDmYJR49zP,Default Response Set,Anonymous,,,92.201.128.219,0,2019-05-01 08:46:19,2019-05-01 08:48:03,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,maennlich vs. weiblich,Ja,Nein,39,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_tM7s3MumRE9dHX3,Default Response Set,Anonymous,,,93.199.69.23,0,2019-05-01 10:52:18,2019-05-01 10:54:14,0,1,1,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,Geräusche mit sch lauten sind weicher als andere Geräusche,Ja,Ja,22,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_1jdB5EalDXsnNFt,Default Response Set,Anonymous,,,84.190.230.155,0,2019-05-01 07:25:47,2019-05-01 07:29:53,0,1,1,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,"Das ""ah"" hört sich wicher an, als das ""ch"".",Ja,Nein,26,männlich,rechtshändig,Deutsch,Nein,Ja,Vielleicht,Nein,Niemals,Niemals,,,,-1,
R_1JQ3LmjTpTSDZ6S,Default Response Set,Anonymous,,,46.128.14.155,0,2019-05-01 06:14:22,2019-05-01 06:17:57,0,1,1,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bei der ersten Aufgabe war die Antwort einfach, weil die Stimme nach ""unten"" ging. Bei der zweiten empfand ich beide als ungefähr gleich ""hart"".",Ja,Nein,58,weiblich,rechtshändig,Deutsch,Nein,Ja,Nein,Ja,Niemals,Niemals,,,,-1,
R_3IbHj5i74j2WHeK,Default Response Set,Anonymous,,,93.192.209.43,0,2019-05-01 06:05:02,2019-05-01 06:07:32,0,1,1,,,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,Die zweite Variante klang jeweils kräftiger und lauter.,Ja,Nein,36,weiblich,rechtshändig,deutsch,Nein,Nein,Nein,Nein,Selten,Niemals,,,,-1,
R_1nV14Fcie9JPJ5s,Default Response Set,Anonymous,,,2.206.140.48,0,2019-05-01 07:20:05,2019-05-01 07:21:25,0,1,1,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lautstaerke,Ja,Ja,58,weiblich,rechtshändig,Deutsch,Nein,Ja,Nein,Ja,Niemals,Niemals,,,,-1,
R_2abLLVADEcycyyy,Default Response Set,Anonymous,,,91.0.176.191,0,2019-05-01 07:10:24,2019-05-01 07:12:50,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,Eventuell die Tonhöhe und die Länge des auslautenden Zischgeräuschs.,Ja,Nein,52,weiblich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_3JyJG8LPrry7UGc,Default Response Set,Anonymous,,,95.90.226.194,0,2019-05-01 04:16:36,2019-05-01 04:19:14,0,1,1,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,Vielleicht wird meine Vermutung durch die Lautstärke/Tonhöhe des Geräusches beeinflusst.,Ja,Nein,20,männlich,rechtshändig,deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
