R_s6SdJWagsI5Wrkt,Default Response Set,Anonymous,,,75.138.15.239,0,09/04/2019 03:11,09/04/2019 03:13,1,1,1,,,,,First,First,,,,,,,,,,,One seemed to sound smoother than the other,Yes,No,36,female,right-handed,English,None,Yes,No,Yes,Never,Never,1,34.1920929,-86.19409943,-1
R_Pvqo2MqLRplKeUp,Default Response Set,Anonymous,,,196.19.156.55,0,09/04/2019 03:14,09/04/2019 03:16,1,1,1,,,,,,,,,,,,,First,Second,,,MY JUDGEMENT BASED ON WHAT I HEAR ON THAT AUDIO.,Yes,No,28,female,right-handed,ENGLISH,None,Maybe,Yes,Yes,Rarely,Short visit(s),1,39.09970093,-94.57859802,-1
R_3HuJfjunXJfAnqr,Default Response Set,Anonymous,,,196.19.159.54,0,09/04/2019 03:18,09/04/2019 03:20,1,1,1,,,,,,,,,,,,,,,Second,Second,NOTHING,Yes,Yes,28,female,right-handed,ENGLISH,Native-like,Maybe,Yes,Yes,Regularly,Lived 5+ years,1,39.09970093,-94.57859802,-1
R_1rD5kbtw2rZK0pN,Default Response Set,Anonymous,,,8.39.235.196,0,09/04/2019 03:26,09/04/2019 03:30,1,1,1,,,,,,,,,,,,,,,Second,Second,it is about sounds,Yes,Yes,25,female,right-handed,english,Intermediate,Maybe,Yes,Maybe,Occasionally,Short visit(s),1,44.01849365,-121.2984009,-1
R_2SDk4NKUFN8tNyE,Default Response Set,Anonymous,,,190.112.192.157,0,09/04/2019 03:11,09/04/2019 03:35,1,1,1,,,,,,,,,,,First,First,,,,,No it is different.,Yes,No,30,male,left-handed,English,None,Maybe,Maybe,No,Never,Short visit(s),1,25.76339722,-80.18859863,-1
R_3lFSkQgsbX6RXSz,Default Response Set,Anonymous,,,190.112.192.103,0,09/04/2019 03:11,09/04/2019 03:14,0,1,1,,,Second,Second,,,,,,,,,,,,,second sound is pleasant thats why i choosed,Yes,Yes,30,female,right-handed,english,None,No,No,No,Don't know,Never,,,,-1
R_2ahvWyG7kgftTUl,Default Response Set,Anonymous,,,45.59.23.102,0,09/04/2019 03:55,09/04/2019 03:59,0,1,1,,,First,Second,,,,,,,,,,,,," i choose the answer,  because the sound is loudly and clearly",Yes,No,28,female,right-handed,english,None,Maybe,No,Maybe,Never,Never,,,,-1
R_30kJlT1lTPPwlNP,Default Response Set,Anonymous,,,172.101.32.133,0,09/04/2019 03:42,09/04/2019 03:45,0,1,1,,,,,,,First,Second,,,,,,,,,I feel the the 2 i chose had a softer range.  The others were jarring for a moment.,Yes,No,35,female,right-handed,English,None,Yes,Yes,Yes,Regularly,Never,,,,-1
R_1kFhMQySW0xX6Yc,Default Response Set,Anonymous,,,65.31.213.39,0,09/04/2019 03:11,09/04/2019 03:12,0,1,1,,,,,,,First,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_3s5fJVYGdR0JXZv,Default Response Set,Anonymous,,,192.210.132.116,0,09/04/2019 03:25,09/04/2019 03:33,0,1,1,Second,Second,,,,,,,,,,,,,,,the sound was something different. and i am happy to hear.,Yes,No,29,female,right-handed,english,Novice,No,No,Maybe,Rarely,Short visit(s),,,,-1
