R_1KqhKW6emjSSw5w,Default Response Set,Anonymous,,,50.117.102.60,0,09/04/2019 03:15,09/04/2019 03:18,1,1,1,,,,,,,First,Second,,,,,,,,,"What does it take to ask for what you want—and then get it? There seems to be a magical art behind creating a great ask, and we all know stories of people who seem to get exactly what they want whenever they ask. Magicians who bend and will the world to their ways. Why is this? What are they doing that no one else seems to be doing? How do they ask for what they want and seem to get it every time?",Yes,No,28,female,left-handed,ENGLISH,Intermediate,Yes,Maybe,Yes,Rarely,Never,1,33.76699829,-118.1892014,-1
R_2yflOP1rsfEpjkq,Default Response Set,Anonymous,,,190.112.192.199,0,09/04/2019 03:15,09/04/2019 03:19,1,1,1,,,First,First,,,,,,,,,,,,,nothing for the feeling,Yes,No,33,female,right-handed,no,None,Maybe,No,Maybe,Rarely,Never,1,25.76339722,-80.18859863,-1
R_3MoFafsqX3LGFZb,Default Response Set,Anonymous,,,198.89.106.236,0,09/04/2019 03:16,09/04/2019 03:20,1,1,1,,,,,,,,,,,,,,,First,First, I am prepared to answer any questions you may have about my ... you are open to making changes but you also have a certain,Yes,Yes,36,female,left-handed,english,Intermediate,Yes,Maybe,Yes,Occasionally,Lived 0-5 years,1,41.84829712,-87.65170288,-1
R_2ZV9ifLPKYbRAaG,Default Response Set,Anonymous,,,196.16.111.147,0,09/04/2019 03:17,09/04/2019 03:21,1,1,1,,,,,,,,,,,,,Second,First,,,no,Yes,Yes,25,male,right-handed,english,None,Maybe,Maybe,No,Occasionally,Short visit(s),1,34.05439758,-118.2440033,-1
R_szDf764BL0ei8rD,Default Response Set,Anonymous,,,196.19.156.104,0,09/04/2019 03:24,09/04/2019 03:30,1,1,1,,,,,,,,,First,First,,,,,,,in pleasent,Yes,Yes,28,male,right-handed,English,Advanced,Yes,Yes,Maybe,Rarely,Short visit(s),1,39.09970093,-94.57859802,-1
R_1lzNC3QbXPvTSDY,Default Response Set,Anonymous,,,196.19.159.166,0,09/04/2019 03:29,09/04/2019 03:33,1,1,1,,,,,,,First,Second,,,,,,,,,IMPROVE THE VOLUME OF THIS EXPERIMENT,Yes,No,28,male,right-handed,ENGLISH,Intermediate,Maybe,No,Maybe,Rarely,Short visit(s),1,39.09970093,-94.57859802,-1
R_vVn1k1gDPKlyMEN,Default Response Set,Anonymous,,,200.35.154.106,0,09/04/2019 03:46,09/04/2019 03:50,1,1,1,,,Second,Second,,,,,,,,,,,,,Its basically known about the sounds.So i choosed.,Yes,Yes,33,male,right-handed,English.Yes i can speak multiple languages.,Novice,Maybe,No,Maybe,Rarely,Never,1,25.76339722,-80.18859863,-1
R_cUZZM5K1ZJtzYHL,Default Response Set,Anonymous,,,96.36.9.9,0,09/04/2019 03:59,09/04/2019 04:02,0,1,1,Second,First,,,,,,,,,,,,,,,the one that was more intensed,Yes,Yes,52,female,right-handed,english,None,No,No,No,Never,Never,,,,-1
R_qDEvKUAVt84Q7AJ,Default Response Set,Anonymous,,,107.172.195.169,0,09/04/2019 03:17,09/04/2019 03:19,0,1,1,Second,Second,,,,,,,,,,,,,,,no it was good to here the sound,Yes,Yes,28,male,right-handed,ENGLISH,None,Maybe,Maybe,Maybe,Regularly,Short visit(s),,,,-1
R_28TxPQwA6zw7juC,Default Response Set,Anonymous,,,200.35.154.106,0,09/04/2019 03:50,09/04/2019 03:52,0,1,1,,,,,,,,,,,Second,Second,,,,,I can easily judge.,Yes,Yes,33,male,right-handed,English.,Novice,Maybe,Maybe,Yes,Rarely,Never,,,,-1
R_1ghywlR8h2QQtWr,Default Response Set,Anonymous,,,98.67.167.101,0,09/04/2019 03:15,09/04/2019 03:19,0,1,1,,,,,,,,,,,Second,Second,,,,,"The first 2 audio files, I found the second was more crisp and sharp which startled me a little. The 2nd set of files, the second one had a creepy echo. ",Yes,No,44,female,right-handed,English ,None,No,No,No,Never,Never,,,,-1
R_2EvhNKymoW1AaEC,Default Response Set,Anonymous,,,97.94.67.192,0,09/04/2019 05:16,09/04/2019 05:18,1,1,1,,,,,First,Second,,,,,,,,,,,I think the more emphasized sounds for me were more unpleasant.  They put me at ease.   ,Yes,No,38,male,right-handed,English,None,No,No,No,Never,Never,1,43.17930603,-85.24970245,-1
R_2uOrMhuBsxgN8YT,Default Response Set,Anonymous,,,49.207.186.194,0,09/04/2019 05:20,09/04/2019 05:22,1,1,1,,,,,,,,,,,,,Second,First,,,NICE TRY.,Yes,No,36,male,right-handed,ENGLISH,Intermediate,Yes,Maybe,No,Occasionally,Short visit(s),1,13.08430481,80.28048706,-1
R_2aKWJLsDMYYKrCG,Default Response Set,Anonymous,,,97.82.209.109,0,09/04/2019 05:23,09/04/2019 05:24,1,1,1,,,,,Second,Second,,,,,,,,,,,I just went with gut feeling,Yes,No,36,male,right-handed,English,None,Yes,No,Yes,Never,Never,1,34.86610413,-82.31980133,-1
R_21t9US4K4hS5dBX,Default Response Set,Anonymous,,,49.207.186.194,0,09/04/2019 05:21,09/04/2019 05:25,1,1,1,,,,,,,,,First,First,,,,,,,Nice,Yes,Yes,50,male,right-handed,English,None,Yes,Yes,Yes,Regularly,Lived 0-5 years,1,13.08430481,80.28048706,-1
R_2P25ai4HlD8GNtD,Default Response Set,Anonymous,,,141.126.143.151,0,09/04/2019 05:25,09/04/2019 05:27,1,1,1,,,,,,,,,,,,,,,First,First,The sounds I picked as unpleasant had a certain roughness or harshness to them that the other one didn't have to the same intensity.,Yes,Yes,31,male,right-handed,English,None,No,No,No,Never,Never,1,43.12049866,-89.35230255,-1
